timestamp,ear,smoothed_ear,gaze,brow,brow_state,wrinkle,smoothed_wrinkle,mouth_open_ratio,lip_thickness,face_height,pitch,yaw,roll,forward_lean_ratio,head_stability_std,is_blink_frame,is_saccade,is_fixation
1784301794.8313973,0.299,0.299,-0.0104,0.1771,NORMAL,0.3047,0.3047,0.0202,0.2661,1.8448,8.12,-1.86,3.81,1.208,0.0,0,0,0
1784301794.848673,0.2907,0.2949,0.0088,0.175,NORMAL,0.2944,0.2996,0.0149,0.2963,1.8645,7.79,-2.74,2.91,1.189,0.0,0,0,1
1784301794.899809,0.27,0.2866,0.0049,0.1777,NORMAL,0.2995,0.2995,0.0147,0.2939,1.8574,9.38,-1.6,3.85,1.193,0.0,0,0,1
1784301794.9402165,0.2954,0.2854,0.0112,0.18,NORMAL,0.2991,0.2994,0.0315,0.2878,1.8815,8.15,-1.67,3.37,1.183,0.0,0,0,1
1784301794.9742863,0.3018,0.2891,-0.0052,0.1779,NORMAL,0.2951,0.2986,0.0145,0.2685,1.8598,7.35,-4.27,4.29,1.197,0.0,0,0,1
1784301795.007103,0.2862,0.2945,-0.006,0.1739,NORMAL,0.2963,0.2969,0.0139,0.2841,1.8538,8.15,-3.31,3.31,1.202,0.0,0,0,1
1784301795.0623186,0.2985,0.2955,0.0041,0.1761,NORMAL,0.2941,0.2968,0.0194,0.2843,1.859,8.12,-1.28,3.34,1.198,0.0,0,0,1
1784301795.0945394,0.2895,0.2914,0.0052,0.1819,NORMAL,0.3012,0.2971,0.0143,0.3013,1.883,9.24,-1.79,2.86,1.198,0.0,0,0,1
1784301795.1157103,0.2935,0.2938,0.0032,0.1824,NORMAL,0.2916,0.2956,0.0151,0.2335,1.8714,8.11,-3.72,3.81,1.201,0.0,0,0,1
1784301795.161525,0.2929,0.292,-0.0072,0.1758,NORMAL,0.291,0.2948,0.0,0.3003,1.8629,7.72,-4.13,3.34,1.201,0.0,0,0,1
1784301795.1826804,0.3072,0.2979,0.0006,0.1732,NORMAL,0.2972,0.295,0.0149,0.2906,1.8466,7.35,-2.79,3.78,1.207,0.0,0,0,1
1784301795.216265,0.2977,0.2993,0.0039,0.1731,NORMAL,0.2922,0.2946,0.0141,0.2842,1.8531,8.18,-3.61,3.81,1.202,0.0,0,0,1
1784301795.250507,0.2797,0.2949,0.0051,0.1718,NORMAL,0.3002,0.2944,0.0555,0.2674,1.8566,8.21,-4.27,4.29,1.199,0.0,0,0,1
1784301795.3313243,0.3062,0.2945,0.0034,0.1722,NORMAL,0.2894,0.294,0.0,0.2758,1.862,8.52,-1.37,3.34,1.202,0.0,0,0,1
1784301795.3806765,0.2809,0.2889,-0.0015,0.1759,NORMAL,0.2933,0.2945,0.0286,0.2756,1.8483,8.63,-2.28,3.85,1.2,2.037,0,0,1
1784301795.41452,0.2766,0.2879,0.0114,0.1714,NORMAL,0.2959,0.2942,0.0143,0.2829,1.8521,7.77,-3.73,3.31,1.208,2.017,0,0,1
1784301795.4438603,0.3028,0.2868,-0.0182,0.1724,NORMAL,0.2946,0.2947,0.0145,0.3003,1.8545,8.21,-6.12,3.34,1.201,2.227,0,0,0
1784301795.4653027,0.2892,0.2896,-0.0001,0.1738,NORMAL,0.2926,0.2932,0.0445,0.2806,1.8433,6.95,-4.17,3.28,1.214,2.271,0,0,1
1784301795.4988272,0.2814,0.2911,0.0181,0.1737,NORMAL,0.295,0.2943,0.0137,0.2831,1.851,8.12,-2.23,3.81,1.203,2.228,0,0,1
1784301795.5317862,0.29,0.2869,0.002,0.1747,NORMAL,0.289,0.2934,0.0147,0.3073,1.8355,8.63,-2.17,2.84,1.208,2.228,0,0,1
1784301795.5720801,0.3243,0.2986,-0.0139,0.1737,NORMAL,0.301,0.2945,0.0145,0.3054,1.8694,8.63,-2.2,4.33,1.186,2.229,0,0,1
1784301795.615679,0.3188,0.311,0.0179,0.1676,FURROW,0.2939,0.2943,0.0147,0.2777,1.8488,8.23,-3.38,3.85,1.193,2.186,0,0,0
1784301795.6654508,0.3269,0.3233,0.0077,0.1631,FURROW,0.2988,0.2955,0.0143,0.2773,1.8612,8.18,-4.73,3.81,1.196,2.195,0,0,1
